Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2020,State,41,Oregon,MC,346945,6902671,5.03,-5.18,-0.1,41676,12.01,4.28,1.56
2020,State,42,Pennsylvania,All,435571,27225633,1.6,-4.41,-0.31,42648,9.79,1.13,0.07
2020,State,42,Pennsylvania,FFS,5458,487577,1.12,-3.07,-0.07,619,11.34,1.84,-4.3
2020,State,42,Pennsylvania,MC,430113,26738056,1.61,-4.49,-0.32,42029,9.77,1.14,0.15
2020,State,44,"Rhode Island",All,65810,3080769,2.14,-2.74,-0.11,5626,8.55,2.07,0.4
2020,State,44,"Rhode Island",FFS,1687,143618,1.17,-2.27,-0.13,170,10.08,-1.15,-2.85
2020,State,44,"Rhode Island",MC,64123,2937151,2.18,-2.82,-0.12,5456,8.51,2.29,0.49
2020,State,45,"South Carolina",All,142423,6146916,2.32,-4.22,-0.44,10978,7.71,1.36,0.45
2020,State,45,"South Carolina",FFS,22970,1045230,2.2,-2.06,-0.12,2151,9.36,1.36,0.6
2020,State,45,"South Carolina",MC,119453,5101686,2.34,-4.69,-0.51,8827,7.39,1.26,0.38
2020,State,46,"South Dakota",All,24279,846905,2.87,-3.19,-0.17,2305,9.49,0.14,-0.45
2020,State,46,"South Dakota",FFS,24279,846905,2.87,-3.19,-0.17,2305,9.49,0.14,-0.45
2020,State,46,"South Dakota",MC,0,0,"","","",0,"","",""
2020,State,47,Tennessee,All,427544,13332366,3.21,-4.58,0.77,137457,32.15,25.32,28.47
2020,State,47,Tennessee,FFS,289078,12029903,2.4,-5.68,-0.23,10812,3.74,-3.09,0.02
2020,State,47,Tennessee,MC,138466,1302463,10.63,10.63,10.1,126645,91.46,"",89.99
2020,State,48,Texas,All,636768,26221244,2.43,-1.41,-0.03,28037,4.4,-0.51,0
2020,State,48,Texas,FFS,9150,752033,1.22,-0.5,-0.62,386,4.22,-0.16,0.72
2020,State,48,Texas,MC,627618,25469211,2.46,-1.69,-0.01,27651,4.41,-0.53,-0.01
2020,State,49,Utah,All,107857,2832345,3.81,-3.92,-0.5,9672,8.97,-1.98,-0.61
2020,State,49,Utah,FFS,22649,1330477,1.7,-3.36,-0.78,1314,5.8,-4.74,0.21
2020,State,49,Utah,MC,85208,1501868,5.67,-4.37,-0.41,8358,9.81,-1.32,-1.34
2020,State,50,Vermont,All,42808,1453877,2.94,-4.09,-0.27,6280,14.67,0.71,-0.05
2020,State,50,Vermont,FFS,42758,1438461,2.97,-4.06,"","","","",""
2020,State,50,Vermont,MC,50,15416,0.32,"","","","","",""
2020,State,51,Virginia,All,2304242,18617912,12.38,6.66,2.02,1964189,85.24,77.98,4.8
2020,State,51,Virginia,FFS,55752,399232,13.96,10.53,-3.82,51123,91.7,84.25,-0.23
2020,State,51,Virginia,MC,2248490,18218680,12.34,6.18,2.25,1913066,85.08,77.84,5.36
2020,State,53,Washington,All,511508,13268491,3.86,-4.25,-0.23,40248,7.87,-1.47,-0.31
2020,State,53,Washington,FFS,22465,628176,3.58,-6.6,-2.84,1249,5.56,-1.6,1.38
2020,State,53,Washington,MC,489043,12640315,3.87,-3.95,-0.07,38999,7.97,-1.76,-0.63
2020,State,54,"West Virginia",All,167501,8489895,1.97,-3.63,-0.18,7012,4.19,-0.72,0.36
2020,State,54,"West Virginia",FFS,167501,8306590,2.02,-3.81,"",7012,4.19,-1.41,""
2020,State,54,"West Virginia",MC,0,183305,0,-5.12,"",0,"","",""
2020,State,55,Wisconsin,All,485330,10660562,4.55,-3.96,-0.15,110168,22.7,7.5,1.99
2020,State,55,Wisconsin,FFS,485330,10660562,4.55,-3.98,-0.15,110168,22.7,7.56,1.98
2020,State,55,Wisconsin,MC,0,0,"","","",0,"","",""
2020,State,56,Wyoming,All,17853,413935,4.31,-3.01,-0.12,2107,11.8,2.1,0.95
2020,State,56,Wyoming,FFS,17853,413935,4.31,-3.01,-0.12,2107,11.8,2.1,0.95
2020,State,56,Wyoming,MC,0,0,"","","",0,"","",""
2019,National,"",National,All,21978286,677248025,3.25,"",-0.44,3108845,14.15,"",4.62
2019,National,"",National,FFS,6000632,188228810,3.19,"",-0.56,804812,13.41,"",1.15
2019,National,"",National,MC,15977654,489019215,3.27,"",-0.39,2304033,14.42,"",6
2019,State,01,Alabama,All,224310,7230251,3.1,-3.23,-1.08,10308,4.6,0.16,0.48
2019,State,01,Alabama,FFS,224310,7230251,3.1,-3.23,-1.08,10308,4.6,0.16,0.48
2019,State,01,Alabama,MC,0,0,"","","",0,"","",""
2019,State,02,Alaska,All,65394,1434139,4.56,-3.33,-1.2,8268,12.64,0.88,-0.71
2019,State,02,Alaska,FFS,65394,1434139,4.56,-3.33,-1.2,8268,12.64,0.88,-0.71
2019,State,02,Alaska,MC,0,0,"","","",0,"","",""
2019,State,04,Arizona,All,595206,14923326,3.99,-5.14,-0.75,44311,7.44,-2.79,-0.52
2019,State,04,Arizona,FFS,9829,153835,6.39,-9.61,-2.49,595,6.05,-2.35,0.16
2019,State,04,Arizona,MC,585377,14769491,3.96,-5.11,-0.74,43716,7.47,-2.79,-0.53
